movieID	movieTitle	genres	rating
276	Mrtav 'ladan (2002)	Comedy, Drama	8.4
277	Mr. & Mrs. Khiladi (1997)	Comedy, Drama, Romance	6.7
278	Kong Zi (2010)	Biography, Drama, History	6.2
279	Haan Maine Bhi Pyaar Kiya (2002)	Drama, Musical, Romance	4.1
280	Amu (2005)	Drama	7.4
281	Scream (1996)	Horror, Mystery	2.8
282	A Perfect Murder (1998)	Crime, Drama, Thriller	6.5
283	Muppets Most Wanted (2014)	Adventure, Comedy, Crime	6.4
284	The Nut Job (2014)	Adventure, Animation, Comedy	5.8
285	Wrongfully Accused (1998)	Action, Comedy, Thriller	6.1
286	Superman (1996)	Action, Adventure, Animation	7.4
287	The Adventures of Tintin (2011)	Adventure, Animation, Crime	8.3
288	The Wrong Guy (1997)	Comedy, Thriller	7.1
289	Superhero Movie (2008)	Action, Comedy	4.5
290	The Barber (2015)	Short	NO DATA
291	Stranger Within (2013)	Mystery, Thriller	3.7
292	The Harry Hill Movie (2013)	Adventure, Comedy, Musical	3.7
293	The Abduction Club (2002)	Action, Adventure, Comedy	6.7
294	Sleeping Beauty (2014)	Animation, Short	NO DATA
295	Spy School (2008)	Adventure, Comedy, Drama	4.7
296	The Last Godfather (2010)	Comedy	3.6
297	Dark Storm (2006)	Sci-Fi, Thriller	3.3
298	If There Be Thorns (2015)	Drama	5.9
299	Reisen til julestjernen (2012)	Adventure, Family, Fantasy	6.4
300	The President Is Coming (2009)	Comedy	6.9
301	Iki-jigoku (2000)	Horror	5.7
302	Monica la mitraille (2004)	Drama	6.7
303	Stóra planið (2008)	Comedy	5.7
304	Kakushi toride no san akunin (2008)	Action, Adventure, Drama	6.2
305	Kozí príbeh (2008)	Animation, Comedy, Family	3.8
306	Tales of the Riverbank (2008)	Family	8.5
307	MacGruber (2010)	Action, Comedy, Romance	5.5
308	Mangchi (2004)	Action, Adventure, Animation	5.8
309	Mou yuukainante shinai (2012)	Comedy, Drama, Mystery	6.7
310	Little Boy (2015)	Comedy, Family, Fantasy	6.7
311	Paranoia (2013)	Drama	6.9
312	My Fellow Americans (1996)	Adventure, Comedy	6.5
313	The Last Shot (2004)	Animation, Comedy, Short	NO DATA
314	Inspector Gadget 2 (2003)	Action, Comedy, Family	3.4
315	Scooby-Doo! The Mystery Begins (2009)	Adventure, Animation, Comedy	5.7
316	Kiler (1997)	Action, Comedy, Crime	7.6
317	Big Driver (2014)	Short, Thriller	6.3
318	Ti piace Hitchcock? (2005)	Mystery, Thriller	5.7
319	Miss Fisher's Murder Mysteries (2013)	Crime, Drama, Mystery	8.4
320	R100 (2013)	Comedy, Drama	6
321	Return to Cabin by the Lake (2001)	Comedy, Horror, Thriller	4.3
322	$windle (2004)	Action, Crime, Drama	5.5
323	Opposite Day (2009)	Comedy, Family	4.3
324	Garfield's Pet Force (2009)	Action, Animation, Comedy	4.2
